Event Name,Event Type,Start Date,Start Time,Finish Date,Finish Time,Location (address),Location (city),Location (country),Event Description,Event Link,Event Cost (other details),Recurring,
Australian Open,Sports & Leisure,16/01/2023,10:00,29/01/2023,16:00,SC Melbourne Park,Melbourne,AU,"Australia Open 2023 is the 108th draw of an international tennis tournament. The championship will be held in the Australian city of Melbourne again, in the territory of the SC Melbourne Park. The main stars of modern tennis – Novak Djokovic, Garbine Muguruza, Roger Federer, Venus Williams- will perform on the courts of the sports complex",https://ausopen.club/,,https://drive.google.com/file/d/15T25-PjEmRxHbyCgEMDHh1l_N7U7ORIx/view?usp=sharing,Annual
Special Olympics Games Berlin 2023,Sports & Leisure,17/06/2023,TBA,25/06/2023,TBA,"Friedrich-Friesen-Allee
14053 Berlin
District Charlottenburg-Wilmersdorf",Charlottenburg-Wilmersdorf,DE,"The Special Olympics World Games offer the opportunity to unite the world like no other event can. Here people with and without disabilities, people of different nations, cultures, political views and religions meet and can overcome existing prejudices with the power of sport.

From 17 – 25 June 2023, Berlin, Germany will welcome 7,000 Special Olympics athletes and Unified partners from approximately 170 countries to compete in 24 sports. The athletes will be supported by more than 3,000 coaches and 20,000 volunteers.",https://www.berlin2023.org/,,https://drive.google.com/file/d/1fbkECtUC2DjElQijyFPvcKqSzBdNwFoz/view?usp=sharing,TBD
Summer Olympics 2024,Sports & Leisure,26/07/2024,TBA,12/8/2022,TBA,Stadiums and Venues around Paris,Paris,FR,"With two years to go to the Paris 2024 Olympic Games, the official competition schedule has been released. Check out the full schedule to find out exactly when the world’s greatest athletes will be competing in events such as the 100 m freestyle, the 400 m hurdles, the Olympic marathon, team fencing, as well as the women’s and men’s football, handball and rugby sevens finals.",https://www.paris2024.org/,,https://drive.google.com/file/d/1mhMWCpe1Ms_cJq0AhsSNtuMUlhnQ-4ot/view?usp=sharing,Every 2 years
ICC Women’s Cricket World Cup 2023,Sports & Leisure,10/2/2023,TBA,26/2/2023,TBA,TBA,Cape Town,AF,"The eighth edition of the ICC Women's T20 World Cup will begin on 10 February 2023 with hosts South Africa taking on Sri Lanka. Cape Town, Paarl and Gqeberha will host the matches in the tournament with the knockout matches set to be played in Cape Town.

The final will be held on 26 February 2023 with a reserve day available on the 27th in case of major interruptions in play on the designated date.",https://www.icc-cricket.com/homepage,,https://drive.google.com/file/d/1GHWMTfV-aK7JfOkzbPQdGgUKQ4eUOSL0/view?usp=sharing,Annual
2023 United Nations Security Council Election,Politics,"TBA, mid 2023",TBA,"TBA, mid 2023",TBA,United Nations Headquarters,New York,US,"The 2023 United Nations Security Council election will be held in mid-2023 during the 77th session of the United Nations General Assembly, held at United Nations Headquarters in New York City. The elections are for five non-permanent seats on the UN Security Council for two-year mandates commencing on 1 January 2024. In accordance with the Security Council's rotation rules, whereby the ten non-permanent UNSC seats rotate among the various regional blocs into which UN member states traditionally divide themselves for voting and representation purposes, the five available seats are allocated as follows:",https://news.un.org/en/,,https://drive.google.com/file/d/1DAgD4zVQX-cPhLxINL9cUJkxlePpRrDk/view?usp=sharing,Annual
French Open 2023,Sports & Leisure,28/5/2023,11:00,11/06/2023,15:00,Roland Garros Stadium,Paris,FR,"The best in tennis come together to battle it out for the world’s greatest clay court championship, the 2023 French Open!

Held at the famous Roland Garros Stadium in Paris, France, the second tournament of the Grand Slam is the only one to be played on a clay court. Considered by many to be a much more difficult surface to play on than grass (due to the slower moving, yet higher bouncing ball), this court and tournament force players to demonstrate their true skill, and prove that they have what it takes to walk away with the Grand Slam title.",https://www.rolandgarros.com/en-us/,,https://drive.google.com/file/d/17cnwIsw2rGzwIGdXVvJapg1IivFfKT7z/view?usp=sharing,Annual
2023 Wimbledon Championships,Sports & Leisure,03/07/2023,TBA,16/7/2023,TBA,"All England Lawn Tennis & Croquet Club
Church Rd, London SW19 5AG, United Kingdom",London,UK,"The most prestigious tennis tournament, Wimbledon, makes a return for 2023!
This is an occasion where the greatest players in the world get together to compete to win the biggest prize of them all. This is a spectacle not to miss for the eager fans sitting in the stands and grandstands of the infamous Centre Court.",https://www.wimbledon.com/en_GB/atoz/dates.html,,https://drive.google.com/file/d/1xnk3zCy5Tr3zlAnRcZ9uLKQr4SvE_sqn/view?usp=sharing,Annual
Commonwealth Games 2026,Sports & Leisure,17/03/2026,TBA,29/03/2026,TBA,TBA,Victoria,AU,"At Victoria 2026, sport is just the beginning.
The 2026 Commonwealth Games will include a keen focus on ensuring works benefit Victoria long after the Games have concluded.
Athlete villages in all four regional hubs will become social and affordable housing, to help regional communities grow and thrive.
New and upgraded sports infrastructure which will help make regional Victoria the ideal place for major events, providing world-class facilities for local sporting clubs and the packed calendar of sport and events which Victoria attracts.
Beyond infrastructure, Victoria 2026 will help reinforce Victoria’s commitment to diversity and inclusion, while significantly strengthening international relationships throughout the Commonwealth through sport diplomacy.
Victoria 2026 is also committed to providing a platform that recognises Australian Aboriginal history and culture.
Victoria 2026 will showcase everything regional Victoria has to offer to the world – the best food and wine, outstanding arts and culture, and breathtaking landscapes.",https://thecgf.com/games/victoria-2026,,https://drive.google.com/file/d/1cf7XQIO7CyV5ItP5wUX8CEKou7ReAVnG/view?usp=sharing,Every 4 Years
US Open [Tennis],Sports & Leisure,15/06/2023,TBA,18/06/2023,TBA,Los Angeles Country Club,Los Angeles,US,The US Open will be in 2023 in Los Angeles California. ,https://www.usopen.com/,,https://drive.google.com/file/d/1VY2vp9dytVHWzwlW520PWmcSyEKBFcwR/view?usp=sharing,Annual
Hangzhou 2022 Asian Games,Sports & Leisure,23/9/2023,TBA,08/10/2023,TBA,Hangzhou Olympic Sports Expo Center,Hangzhou,CH,"The 2022 Asian Games, officially known as the 19th Asian Games and also known as Hangzhou 2022, will be a multi-sport event celebrated in Hangzhou, Zhejiang, China. Hangzhou will be the third Chinese city to host the Asian Games, after Beijing in 1990 and Guangzhou in 2010.",https://www.hangzhou2022.cn/En/,,https://drive.google.com/file/d/17IRhBYTS8VP6Tpd7czKEZ9HyOouhfdpZ/view?usp=sharing,Every 4 Years
