Taxonomy 1,Taxonomy 2,Tool Name,Tool Description,Top Features,Pros,Cons,Pricing,Website Link,"Affiliate Programme
Y/N",Affiliate Programme Link/ Revenue
Tools,SEO,Surfer SEO,"Surfer SEO is a tool to help users research, write, optimize, and audit! Everything you need to create a comprehensive content strategy that yields real results.","To use Surfer SEO’s content editor tool, their AI technology checks the prominence of each word on competitor’s pages based on a topic. Then, it gives you the most accurate and competitive guidelines for you to start working in your content editor. 
- Optimize old blog posts, create landing pages and more
- Content scores and content optimization recommendations (length and topic suggestions) 
- Multi-keyword analysis booster so you can rank for several keywords in one piece
- Google Docs and WordPress integration
- SEO-driven content briefs
- SERP Analyzer","- Analysis for on-page ranking factors
- Competition analytics
- NLP Analysis for webpage content
- Content SEO scoring
- Content editor with details about what to rank for
- Plugin that helps with search data on Google","- Integrating better keyword data
- Full Site SEO Auditor (independent of copy)
- Technical Factor analysis","Monthly
Free
Basic: $59.00
Pro: $119.00
Business $239.00",https://surferseo.com/,Yes,25% Commission
Tools,Content Planning,Answer the Public,"Answer the Public is a keyword tool that visualizes search questions and suggested autocomplete searches in an image called a search cloud. Categories consist of the 5 Ws, plus 'how', 'can', 'are', 'which' and 'will'","Answer The Public helps writers and website owners come up with content ideas.
- Perform Unlimited Searches & Exports
- Monitor & Receive Alerts for New Suggestions
- Hide Unwanted Suggestions","- Free and easy to use
- You can download the results into a CSV file
- You can download the keyword visualization as a .jpeg file
- Provides relevant and current long-tail keywords
- Varied categories in keyword search results
- No need to sign up or register
- Free email course on how to use the tool","- The free version only allows three searches a day
- Setting a different language and location requires an upgrade to Pro
- No keyword stats available (possible update may be coming)","Monthly: $99.00
Annual: $79.00
Expert: $199.00",https://answerthepublic.com/,Yes,Earn up to 30% of the $99 monthly subscription fee for everyone who becomes a Pro member through your recommendation.
Tools,Content Planning,Also Asked,"Also Asked is a kewyword research tool that aggregates, organises and displays “People Also Ask” data that appear in Google search results. You can interact with this data on the site to explore it, export it to image graphs for quick presentation to clients or into CSV format to process it with other tools, saving a huge amount of time.","Alsoasked.com helps you get unparalleled insight into search intent with live,
geo-specific “People Also Ask” questions.
- Perform Unlimited Searches & Exports
- Monitor & Receive Alerts for New Suggestions
- Hide Unwanted Suggestions",- Free Version Available,- You need to pay for some specific features,"Monthly
Basic: $15.00
Lite: $29.00
Pro: $59.00",https://alsoasked.com/,No,
Tools,Content Planning,UberSuggest,"From NP Digital, Ubersuggest is a free keyword tool that businesses can use for keyword research. Ubersuggest is primarily a free tool, though NP Digital does offer a paid version of the product with more advanced search engine optimization and search engine marketing capabilities.","- Keyword Research
- Keyword Rank Tracking
- Website Audit Reporting
- Backlink Analysis
- Competitive Analysis And Reporting","- No set-up fee
- SEO Analysis, clearly shown and prioritised
- Keyword suggestions with monthly volume
- Onboarding process is easy to get started","- No Free Trial
- No Premium Consulting or Integration Services","Monthly
Individual: $29.00
Business: $49.00
Enterprise / Agency: $99.00",https://neilpatel.com/ubersuggest/,No,
Tools,Content Planning,Google Trends,Google Trends is a website by Google that analyzes the popularity of top search queries in Google Search across various regions and languages. The website uses graphs to compare the search volume of different queries over time,"- Reviewers Rate 
- Page Grader 
- Site Recommendations
- Mobile SEO","- Rising search queries and trends.
- Trends across different regions.
- Product and category seasonality.","- Values are not absolute numbers, instead of indexed numbers.
- Only 5 keywords for the comparison chart.",Free,https://trends.google.com/trends/?geo=US,No,
Tools,Content Planning,SpyFu,"SpyFu is the eponymous SEO and PPC research platform from the company in Scottsdale, Arizona focused on ""spying"" on competitors, or basically using their behaviors to refine your own through keyword and content analysis, and backlink poaching. This positional search engine optimization and paid listings management platform touts the ability to lower costs and raise rankings via a Kombat-oriented approach... basically a cute way of saying ""it makes comparisons"" of how well your site does in niche keyword areas vis-a-vis rival actors in the same or contiguous marketing space.","- SEO Research
- PPC Research
- Keyword Research
- Backlink Research
- Keyword Rank Tracking
- Competitive Analysis","- PPC research
- Historic traffic 
- SERP Rank Tracking
- Easy presentable report
- Keyword tracking","- Weak Keywords database
- Backlink database
- Adding a site audit will be addition but not having it will be fine","Monthly
Basic: $39.00
Team: $299.00
Professional: $79.00",https://www.spyfu.com/,Yes,40% in monthly recurring commissions
Tools,Content Planning,Hubspot’s Blog Topic Generator,"HubSpot’s blogging tool allows you to write, optimise, publish and analyse blog content in one place.","- Infrastructure and security
- Free blogging templates
- SEO benefits
- Content search
- Blogging dashboard and reporting
- Preview tool
- Blog ideas generator
- Blog comments
- Multi-language content creation","- Managing your posts with tags
- Blog importing and migration made easy
- Simple and intuitive interface
- Insert and edit images
- Blog subscription ability","Content staging limitations

Content Staging is an in-app separate content environment that allows you to update or create staged pages before publishing them to your production site. While HubSpot’s content staging tool allows you to redesign and relaunch your website in a sandbox development environment, it’s limited to website pages and landing pages. This means you can’t use the staging tool to redesign your blog – you need to replace the blog templates in your settings.

HubSpot tags are universal

The tags in HubSpot are universal, meaning they will apply to every blog. This is great if you have one blog in one language, but if you have two or three or even four blogs (all covering different topics), the tags won’t translate well into different languages (unless they are proper nouns). ","Monthly
Starter: $45.00
Professional: $800.00
Enterprise: $3,600.00",https://www.hubspot.com/blog-topic-generator,Yes,15% or 100%
Tools,Content Planning,Portent’s Content Idea Generator,"This popular writing tool helps you to come up with topics for your future posts.
All you need to do is to input a keyword and hit “Enter.”",This tool simply create a title for you using the keyword entered.,"- The Portent generator is ads-free.
- You do not need to pay for the use of the web tool.
- The design of the online tool is user-friendly.
- The topic creation process management will be fast and convenient.",n/a,Free,https://www.portent.com/tools/title-maker/,No,
Tools,Content Planning,Ideaflip,"Ideaflip is the best tool to work on new article ideas with your team of writers and editors. You can indulge in real-time brainstorming and collaboration with your team using this content writing tool.
Ideaflip lets you compose, collect, and clarify your ideas in an easier way. It keeps you connected across devices. You can discuss ideas, share references, and work together to create great articles.","- Sticky Notes
- Templates
- Export sticky notes into documents or spreadsheets.","- Sticky Notes can be shared with team
- Use for organization, brainstorming, voting, annotations, connect ideas
- 14 day Free Trial",n/a,"Peronal: Free
Basic [Team]: $12.00
Professional [Team]: $24.00",https://ideaflip.com/,No,
Tools,Content Planning,Evernote,Evernote is a suite of software and services designed for notetaking and archiving. ,"Evernote is a fairly easy-to-use tool with a classic interface and decent user base. 
- Improved efficiency via integrating Evernote with the Google Calendar
- Keep track of the most crucial information you come across online, such as saving web pages, articles, or PDFs
- The ability to do advanced searches and document OCR scanning
- Combined Notes and to-do feature to keep track of important things
- From brainstorming to execution, Evernote interacts with Google Drive, Slack, and Microsoft Teams.","- Beautiful notes may be created with the help of an intuitive user interface that offers a wide range of color schemes, typefaces, and layouts.
- Your notes are always at your fingertips, no matter where you are.
- Even scanned papers may be quickly and accurately found using the powerful note-searching capabilities of the app.
- Keeping track of meetings makes it possible to work in groups and collaborate.","- Premium plan is expensive.
- Free account has limitation of 60mb per month which can be increased to increase customer base.
- Notes can not be accessed while offline browsing.
- Premium accounts can be made cheaper to enable more users to access the feature of this app.","Free: $0 for basic functionalities.
Personal: $7.99 for sync across devices and 10Gb monthly uploads.
Professional: $9.99 for everything in the personal plan, 20Gb monthly uploads, and many more.
Teams: $14.99 for everything in professional, plus extra 2Gb uploads per use",https://evernote.com/,Yes,https://evernote.com/resources/affiliates
